"station","a","b"
"2014000101",0.193439585271166,123.40605383386
"2101000102",0.0754979946207164,280.305073072346
"2221000101",0.305073261619807,169.668383548365
"2225000101",0.104793153582935,741.953703659355
"2301000101",0.033286850096552,393.102915379074
"2302000101",0.056589470649211,208.5174428266
"2329000101",0.116566782446951,-152.235098626771
"2402000101",0.087269079671806,24.6990249036924
"2501000101",0.140483269282443,114.59681004307
"2503000101",0.0605978300249693,417.127618174951
"2504000101",0.231244620470645,703.884191560455
"2511000101",0.2229840488336,123.910795430682
"2512000101",0.0392326326055932,179.201882681796
"2512000201",0.0653925389266125,83.2800670532285
"2512000301",0.0499112268546634,329.827700436121
"2521000102",0.0334352431084315,570.053541738785
"2533000102",0.0554885249762532,337.429894448906
"2544000101",-0.110025940009337,144.338065399203
"2623000101",0.131682154509981,495.028325805654
"2715000101",0.287029631136085,44.4330429423967
"2803000102",0.0661896363410455,171.745255251254
"2812000101",0.223396661956472,-72.0510435900203
"2824000101",0.107926458295669,159.545223253932
"5041000101",0.00228724916308946,92.4744935001498
"5143000101",0.0012705778128208,663.318812117218
"5220000101",0.00330181608123435,1337.7447605092
"5221000101",0.00340712057772329,1087.85116963022
"5221000201",0.00333732294874348,123.780920025276
"5241000101",0.00296650329866291,1428.84254347901
"5522000101",0.0200440371739405,554.973478975843
"6000000102",0.00492120796242752,-116.791033433203
"6020000101",0.00351250419101384,1465.67282884298
"6122000301",0.00556828888782159,1663.74184640244
"6242000101",0.00648354615285657,1411.48770920069
"7050000101",0.00470886739282523,1247.14687812434
"8032000101",0.00425744803453397,1423.56934603872
"9104000101",0.0256673000469982,514.914694762987
"9110000101",0.112388355989112,570.93236452204
"9121000102",0.103652071072775,939.154633190996
"A021005050",0.00128939228041542,4568.7297303032
"A022020001",0.449965497192048,201.70783745648
"A053074201",0.439374937839338,179.568327036914
"A060005050",0.000882272425953871,1591.18714867359
"A061005051",0.000551342719914131,961.959274220887
"A100003001",0.149639450518805,289.137020488877
"A105003001",0.040550265020693,384.88896257575
"A107020001",0.198917392648608,161.831347858582
"A112010001",0.0948073250903253,198.770212951195
"A112010002",0.0852628576858563,363.31478988982
"A113030002",0.112674524693857,223.337267516126
"A115020001",0.0888861093035417,56.8274539006182
"A116003002",0.0197247513614399,358.86643430883
"A116003004",0.0248014803647398,681.570901165846
"A116003101",0.0619706191553926,626.131466455894
"A120020302",0.103372032352969,240.601119183675
"A121000101",0.0310250319718165,180.014799267423
"A124020101",0.0224615075251166,325.216991586621
"A125020001",0.0242012273253939,774.686707281065
"A130000101",0.0208431122427904,468.780978007306
"A133003001",0.0150853396224522,339.655375071708
"A140202001",0.0695909378595458,295.162441693814
"A143020002",0.0174971231273119,783.616200690522
"A146020302",0.0219968660999885,456.748967087751
"A147004001",0.0128630224194955,570.841050527302
"A147004101",0.0260582367068333,455.378317759452
"A150020001",0.0432357894350061,297.89499306297
"A152020001",0.0398075983455503,383.232091497734
"A156020101",0.061429623068432,26.8578734684962
"A161003001",0.0169031194668631,1202.03438488728
"A201010001",0.0240522261529894,609.091415895565
"A202030001",0.0417606725266203,415.085227172758
"A204010201",0.0142594134329702,258.503697721107
"A204010301",0.24346505749315,178.726336933173
"A210020101",0.0892989141892839,335.955168080316
"A211030001",0.0448567013918982,331.189670445474
"A212020001",0.0421650475879706,410.584663989809
"A214010001",0.0369404937293325,589.150184814085
"A214010102",0.0199948220576257,486.141731840982
"A215030001",0.1250919945965,166.987298632712
"A220000101",0.0190067725703737,724.648363438137
"A226032002",0.00756826042547398,646.401712198429
"A228003001",0.0129935542200667,975.351100688325
"A231020001",0.0655861137070198,284.701789620287
"A234021001",0.0490027518178627,202.584379900217
"A235020001",0.0322172816430489,769.103300803984
"A236003001",0.0120639867735861,626.305853997037
"A237003001",0.00808822165445705,-37.0371012723706
"A242020101",0.154145970523911,448.3059820717
"A243003001",0.0225762051801471,283.344764141585
"A251020001",0.0784345532738422,311.24489708441
"A261020001",0.149355027441476,257.182424860391
"A273011002",0.027114725304499,143.511039677792
"A284020001",0.0837412429936162,205.03975993996
"A285011001",0.0187237198792502,1057.87390304611
"A286011003",0.0295870492914071,668.857569016351
"A302009050",0.00105290439042059,4002.41081453711
"A312000101",0.103274900470888,554.3955457114
"A325021001",0.201094025987044,124.468987964783
"A330010001",0.063933643865325,27.8733787770088
"A341020001",0.0942990665368198,96.0658584920735
"A343021001",0.238055458765087,245.244811258822
"A348020001",0.0717102087241421,535.343421232584
"A350010001",0.0399234099553502,526.766741958931
"A355005050",0.00111296872579574,3300.88966240575
"A361011001",0.115379634223391,265.286719994762
"A368021001",0.247413101632188,695.594866530499
"A369011001",0.149116656815828,1077.97813787096
